Cadence (Burst),JD_UTC,av_rel_flux T1,av_rel_flux C2,av_rel_flux C3,av_rel_flux C4,av_rel_flux C5,std_T1,std_C2,std_C3,std_C4,std_C5,CoV T1,CoV C2,CoV C3,CoV C4,CoV C5
6-8,2458624.563,0.4503127,0.2315892,0.3356857,0.3288824,0.4559319,0.002210911805,0.001217980443,0.001259182199,0.001590033723,0.002436059336,0.49097,0.52592,0.37511,0.48347,0.53430
7-1,2458625.995,0.4593976,0.2285893,0.338114,0.3307276,0.4550459,0.002281561535,0.001110273394,0.002065985286,0.002184871539,0.001992535292,0.49664,0.48571,0.61103,0.66063,0.43788
7-2,2458626.995,0.4585336,0.2281277,0.3390292,0.3318811,0.4532329,0.002767438064,0.0009572575463,0.001547058422,0.001290372849,0.00227435351,0.60354,0.41961,0.45632,0.38881,0.50181
7-3,2458628,0.4740928,0.2280653,0.3369779,0.3334959,0.4538209,0.003170915603,0.0009260926574,0.001435836373,0.00201902345,0.001862703167,0.66884,0.40606,0.42609,0.60541,0.41045
7-4,58629.9954,0.4488137273,0.2304031818,0.3431810909,0.3270680909,0.4509533636,0.003655749471,0.001480163309,0.002205638537,0.003402915073,0.004221643352,0.81454,0.64242,0.64270,1.04043,0.93616
8-2,2458632.032,0.4531768,0.2269028,0.3387323,0.3319071,0.4552724,0.002404288494,0.00108937751,0.001724015432,0.001647005127,0.002037764128,0.53054,0.48011,0.50896,0.49622,0.44759
9-1,2458634.522,0.4566277,0.2333386,0.3398229,0.3264391,0.4515463,0.002471046,0.000886618,0.002142074,0.002113717,0.002726431,0.54115,0.37997,0.63035,0.64751,0.60380
10-1,2458636.992,0.4693812222,0.2309196667,0.3400581111,0.3281804444,0.4525563333,0.002083965119,0.001670405074,0.002267099539,0.003528225242,0.002972223335,0.44398,0.72337,0.66668,1.07509,0.65676
10-2,2458637.992,0.4561976,0.2274765,0.3378804,0.3328641,0.4543294,0.001830253928,0.001663847905,0.001114034488,0.001619739019,0.001205142415,0.40120,0.73144,0.32971,0.48661,0.26526
10-4,2458639.992,0.4669012,0.2302756,0.3364962,0.3281193,0.4577863,0.002114793266,0.001294165538,0.004697785878,0.003130457253,0.007612485928,0.45294,0.56201,1.39609,0.95406,1.66289
